symbol,qty,side,price,time
AAPL,1,sell,,2024-05-17 13:56:22.306398384+00:00
AAPL,1,sell,,2024-05-17 13:56:22.618745844+00:00
AAPL,1,sell,,2024-05-17 13:57:21.335573878+00:00
AAPL,1,sell,,2024-05-17 13:57:22.170527202+00:00
AAPL,1,sell,,2024-05-17 13:58:21.338423179+00:00
AAPL,1,sell,,2024-05-17 13:58:22.158449705+00:00
AAPL,1,sell,190.4,2024-05-17 14:00:12.077926864+00:00
AAPL,1,sell,190.4,2024-05-17 14:00:12.016440638+00:00
AAPL,1,sell,190.44,2024-05-17 14:01:11.736872672+00:00
AAPL,1,sell,190.44,2024-05-17 14:01:12.122808295+00:00
AAPL,1,sell,190.39,2024-05-17 14:02:11.669088470+00:00
AAPL,1,sell,190.42,2024-05-17 14:02:12.169075225+00:00
AAPL,1,sell,190.32,2024-05-17 14:03:11.030334328+00:00
AAPL,1,sell,190.34,2024-05-17 14:03:12.288866151+00:00
AAPL,1,sell,190.36,2024-05-17 14:04:11.350742809+00:00
AAPL,1,sell,190.36,2024-05-17 14:04:12.062148250+00:00
AAPL,1,sell,,2024-05-17 14:06:46.662622808+00:00
AAPL,1,sell,,2024-05-17 14:06:46.792229671+00:00
AAPL,1,sell,,2024-05-17 14:07:45.827059986+00:00
AAPL,1,sell,,2024-05-17 14:07:46.656228410+00:00
AAPL,1,sell,190.22,2024-05-17 14:09:12.096497495+00:00
AAPL,1,sell,190.21,2024-05-17 14:09:14.115582296+00:00
AAPL,1,sell,190.2,2024-05-17 14:10:12.232139149+00:00
AAPL,1,sell,190.21,2024-05-17 14:10:12.851931567+00:00
AAPL,1,sell,190.09,2024-05-17 14:16:32.375078378+00:00
AAPL,1,sell,190.09,2024-05-17 14:16:33.856020035+00:00
AAPL,1,sell,190.09,2024-05-17 14:17:32.099407010+00:00
AAPL,1,sell,190.09,2024-05-17 14:17:33.220157423+00:00
AAPL,1,sell,190.08,2024-05-17 14:20:11.692443371+00:00
AAPL,1,sell,190.09,2024-05-17 14:20:12.954351814+00:00
AAPL,1,sell,190.05,2024-05-17 14:21:11.933614548+00:00
AAPL,1,sell,190.05,2024-05-17 14:21:12.590127713+00:00
AAPL,1,sell,190.16,2024-05-17 14:22:42.625557820+00:00
AAPL,1,sell,190.16,2024-05-17 14:22:43.186160661+00:00
AAPL,1,sell,190.13,2024-05-17 14:23:41.744751233+00:00
AAPL,1,sell,190.13,2024-05-17 14:23:43.472275184+00:00
AAPL,1,sell,190.14,2024-05-17 14:24:41.531212988+00:00
AAPL,1,sell,190.14,2024-05-17 14:24:42.908769422+00:00
AAPL,1,sell,190.1,2024-05-17 14:25:42.005273878+00:00
AAPL,1,sell,190.11,2024-05-17 14:25:43.077649194+00:00
AAPL,1,sell,190.2,2024-05-17 14:26:42.002132041+00:00
AAPL,1,sell,190.2,2024-05-17 14:26:42.800579835+00:00
AAPL,1,sell,190.19,2024-05-17 14:28:17.688958197+00:00,100007.93
AAPL,1,sell,190.19,2024-05-17 14:28:18.544781508+00:00,100007.92
AAPL,1,sell,190.13,2024-05-17 14:29:16.348868182+00:00,100012.72
AAPL,1,sell,190.13,2024-05-17 14:29:17.686566520+00:00,100012.71
AAPL,1,sell,190.17,2024-05-17 14:30:17.143890330+00:00,100009.42
AAPL,1,sell,190.17,2024-05-17 14:30:17.585315259+00:00,100009.01
AAPL,1,sell,190.15,2024-05-17 14:31:16.559084003+00:00,100011.1
AAPL,1,sell,190.15,2024-05-17 14:31:17.655447607+00:00,100010.66
AAPL,1,sell,190.21,2024-05-17 14:32:17.113623267+00:00,100006.35
AAPL,1,sell,190.2,2024-05-17 14:32:17.406536407+00:00,100006.34
AAPL,1,sell,190.26,2024-05-17 14:33:16.819058430+00:00,100001.18
AAPL,1,sell,190.26,2024-05-17 14:33:17.626245444+00:00,100001.18
AAPL,1,sell,190.26,2024-05-17 14:34:16.939397814+00:00,100000.12
AAPL,1,sell,190.27,2024-05-17 14:34:17.820872213+00:00,100000.44
AAPL,1,sell,190.26,2024-05-17 14:35:16.733766161+00:00,100001.01
AAPL,1,sell,190.26,2024-05-17 14:35:17.975495385+00:00,100002.41
AAPL,1,sell,190.2,2024-05-17 14:36:16.524338398+00:00,100007.11
AAPL,1,sell,190.2,2024-05-17 14:36:17.475804762+00:00,100007.1
AAPL,1,sell,190.16,2024-05-17 14:37:16.907756374+00:00,100010.45
AAPL,1,sell,190.16,2024-05-17 14:37:17.272244558+00:00,100010.93
AAPL,1,sell,190.13,2024-05-17 14:38:16.893705737+00:00,100013.36
AAPL,1,sell,190.13,2024-05-17 14:38:17.834088362+00:00,100013.35
AAPL,1,sell,190.09,2024-05-17 14:39:16.724838901+00:00,100017.85
AAPL,1,sell,190.09,2024-05-17 14:39:17.645431928+00:00,100017.84
AAPL,1,sell,190.05,2024-05-17 14:40:16.420654515+00:00,100021.92
AAPL,1,sell,190.05,2024-05-17 14:40:17.560446986+00:00,100021.91
AAPL,1,sell,189.93,2024-05-17 14:41:17.469810535+00:00,100034.01
AAPL,1,sell,189.93,2024-05-17 14:41:18.253330590+00:00,100033.31
AAPL,1,sell,189.94,2024-05-17 14:42:16.664372123+00:00,100033.83
AAPL,1,sell,189.94,2024-05-17 14:42:17.469600667+00:00,100033.3
AAPL,1,sell,189.92,2024-05-17 14:43:16.411961052+00:00,100035.46
AAPL,1,sell,189.92,2024-05-17 14:43:17.664491096+00:00,100034.35
AAPL,1,sell,189.92,2024-05-17 14:44:16.866480142+00:00,100035.45
AAPL,1,sell,189.92,2024-05-17 14:44:17.354387398+00:00,100034.87
AAPL,1,sell,189.94,2024-05-17 14:45:16.537710087+00:00,100033.32
AAPL,1,sell,189.94,2024-05-17 14:45:17.512962109+00:00,100033.18
